ipaddr DST_IP,ipaddr SRC_IP,uint64 BYTES,uint64 BYTES_REV,uint64 LINK_BIT_FIELD,time TIME_FIRST,time TIME_LAST,macaddr DST_MAC,macaddr SRC_MAC,uint32 PACKETS,uint32 PACKETS_REV,uint16 DST_PORT,uint16 SRC_PORT,uint8 DIR_BIT_FIELD,uint8 PROTOCOL,uint8 TCP_FLAGS,uint8 TCP_FLAGS_REV,int8* PPI_PKT_DIRECTIONS,uint8* PPI_PKT_FLAGS,uint16* PPI_PKT_LENGTHS,time* PPI_PKT_TIMES
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T19:56:27.881260,2021-02-04T19:56:27.882156,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T19:56:27.881260|2021-02-04T19:56:27.881620|2021-02-04T19:56:27.882156]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T19:57:27.904814,2021-02-04T19:57:27.905658,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T19:57:27.904814|2021-02-04T19:57:27.905274|2021-02-04T19:57:27.905658]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T19:58:27.928153,2021-02-04T19:58:27.928577,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T19:58:27.928153|2021-02-04T19:58:27.928378|2021-02-04T19:58:27.928577]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T19:59:27.943795,2021-02-04T19:59:27.944725,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T19:59:27.943795|2021-02-04T19:59:27.944261|2021-02-04T19:59:27.944725]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:00:27.963288,2021-02-04T20:00:27.963752,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:00:27.963288|2021-02-04T20:00:27.963533|2021-02-04T20:00:27.963752]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:01:27.986808,2021-02-04T20:01:27.987845,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:01:27.986808|2021-02-04T20:01:27.987293|2021-02-04T20:01:27.987845]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:02:28.006347,2021-02-04T20:02:28.007056,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:02:28.006347|2021-02-04T20:02:28.006678|2021-02-04T20:02:28.007056]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:03:28.029783,2021-02-04T20:03:28.030212,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:03:28.029783|2021-02-04T20:03:28.030032|2021-02-04T20:03:28.030212]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:04:28.049318,2021-02-04T20:04:28.049863,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:04:28.049318|2021-02-04T20:04:28.049540|2021-02-04T20:04:28.049863]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:05:28.072886,2021-02-04T20:05:28.073687,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:05:28.072886|2021-02-04T20:05:28.073203|2021-02-04T20:05:28.073687]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:06:28.092432,2021-02-04T20:06:28.093250,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:06:28.092432|2021-02-04T20:06:28.092799|2021-02-04T20:06:28.093250]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:07:28.112050,2021-02-04T20:07:28.113563,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:07:28.112050|2021-02-04T20:07:28.112477|2021-02-04T20:07:28.113563]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:08:28.135354,2021-02-04T20:08:28.137984,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:08:28.135354|2021-02-04T20:08:28.135601|2021-02-04T20:08:28.137984]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:09:28.150919,2021-02-04T20:09:28.151747,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:09:28.150919|2021-02-04T20:09:28.151228|2021-02-04T20:09:28.151747]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:10:28.174554,2021-02-04T20:10:28.175557,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:10:28.174554|2021-02-04T20:10:28.174915|2021-02-04T20:10:28.175557]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:11:28.194009,2021-02-04T20:11:28.195352,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:11:28.194009|2021-02-04T20:11:28.194546|2021-02-04T20:11:28.195352]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:12:28.217493,2021-02-04T20:12:28.218228,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:12:28.217493|2021-02-04T20:12:28.217819|2021-02-04T20:12:28.218228]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:13:28.236927,2021-02-04T20:13:28.237368,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:13:28.236927|2021-02-04T20:13:28.237176|2021-02-04T20:13:28.237368]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:14:28.260495,2021-02-04T20:14:28.261315,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:14:28.260495|2021-02-04T20:14:28.260780|2021-02-04T20:14:28.261315]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:15:28.280113,2021-02-04T20:15:28.281070,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:15:28.280113|2021-02-04T20:15:28.280527|2021-02-04T20:15:28.281070]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:16:28.303556,2021-02-04T20:16:28.304426,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:16:28.303556|2021-02-04T20:16:28.304031|2021-02-04T20:16:28.304426]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:17:28.327127,2021-02-04T20:17:28.328338,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:17:28.327127|2021-02-04T20:17:28.327568|2021-02-04T20:17:28.328338]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:18:28.350528,2021-02-04T20:18:28.350966,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:18:28.350528|2021-02-04T20:18:28.350741|2021-02-04T20:18:28.350966]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:19:28.370160,2021-02-04T20:19:28.371121,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:19:28.370160|2021-02-04T20:19:28.370608|2021-02-04T20:19:28.371121]
10.0.42.1,10.0.42.10,328,328,1,2021-02-04T19:59:38.464402,2021-02-04T19:59:38.464811,52:54:00:4c:1c:09,52:54:00:2d:18:d3,1,1,67,68,0,17,0,0,[1|-1],[0|0],[300|300],[2021-02-04T19:59:38.464402|2021-02-04T19:59:38.464811]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:20:28.385669,2021-02-04T20:20:28.386806,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:20:28.385669|2021-02-04T20:20:28.386045|2021-02-04T20:20:28.386806]
10.0.42.1,10.0.42.155,328,331,1,2021-02-04T19:52:10.535351,2021-02-04T19:52:10.535552,52:54:00:4c:1c:09,52:54:00:40:74:8e,1,1,67,68,0,17,0,0,[1|-1],[0|0],[300|303],[2021-02-04T19:52:10.535351|2021-02-04T19:52:10.535552]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:21:28.401195,2021-02-04T20:21:28.402123,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:21:28.401195|2021-02-04T20:21:28.401546|2021-02-04T20:21:28.402123]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:22:28.424655,2021-02-04T20:22:28.425438,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:22:28.424655|2021-02-04T20:22:28.424989|2021-02-04T20:22:28.425438]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:23:28.448174,2021-02-04T20:23:28.448971,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:23:28.448174|2021-02-04T20:23:28.448458|2021-02-04T20:23:28.448971]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:24:28.467724,2021-02-04T20:24:28.468828,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:24:28.467724|2021-02-04T20:24:28.468096|2021-02-04T20:24:28.468828]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:25:28.487262,2021-02-04T20:25:28.488362,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:25:28.487262|2021-02-04T20:25:28.487685|2021-02-04T20:25:28.488362]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:26:28.506763,2021-02-04T20:26:28.507896,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:26:28.506763|2021-02-04T20:26:28.507083|2021-02-04T20:26:28.507896]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:27:28.526167,2021-02-04T20:27:28.526588,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:27:28.526167|2021-02-04T20:27:28.526441|2021-02-04T20:27:28.526588]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:28:28.545674,2021-02-04T20:28:28.546066,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:28:28.545674|2021-02-04T20:28:28.545865|2021-02-04T20:28:28.546066]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:29:28.569266,2021-02-04T20:29:28.570176,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:29:28.569266|2021-02-04T20:29:28.569580|2021-02-04T20:29:28.570176]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:30:28.588808,2021-02-04T20:30:28.589880,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:30:28.588808|2021-02-04T20:30:28.589103|2021-02-04T20:30:28.589880]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:31:28.604359,2021-02-04T20:31:28.605440,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:31:28.604359|2021-02-04T20:31:28.604672|2021-02-04T20:31:28.605440]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:32:28.623888,2021-02-04T20:32:28.624816,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:32:28.623888|2021-02-04T20:32:28.624241|2021-02-04T20:32:28.624816]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:33:28.639277,2021-02-04T20:33:28.639701,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:33:28.639277|2021-02-04T20:33:28.639462|2021-02-04T20:33:28.639701]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:34:28.658658,2021-02-04T20:34:28.659235,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:34:28.658658|2021-02-04T20:34:28.658871|2021-02-04T20:34:28.659235]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:35:28.678003,2021-02-04T20:35:28.678418,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:35:28.678003|2021-02-04T20:35:28.678201|2021-02-04T20:35:28.678418]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:36:28.697462,2021-02-04T20:36:28.698299,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:36:28.697462|2021-02-04T20:36:28.697784|2021-02-04T20:36:28.698299]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:37:28.712881,2021-02-04T20:37:28.713762,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:37:28.712881|2021-02-04T20:37:28.713249|2021-02-04T20:37:28.713762]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:38:28.736282,2021-02-04T20:38:28.737174,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:38:28.736282|2021-02-04T20:38:28.736620|2021-02-04T20:38:28.737174]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:39:28.755720,2021-02-04T20:39:28.757122,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:39:28.755720|2021-02-04T20:39:28.756095|2021-02-04T20:39:28.757122]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:40:28.779098,2021-02-04T20:40:28.779885,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:40:28.779098|2021-02-04T20:40:28.779362|2021-02-04T20:40:28.779885]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:41:28.802531,2021-02-04T20:41:28.803224,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:41:28.802531|2021-02-04T20:41:28.802806|2021-02-04T20:41:28.803224]
10.0.42.1,10.0.42.10,328,328,1,2021-02-04T20:20:41.335547,2021-02-04T20:20:41.335907,52:54:00:4c:1c:09,52:54:00:2d:18:d3,1,1,67,68,0,17,0,0,[1|-1],[0|0],[300|300],[2021-02-04T20:20:41.335547|2021-02-04T20:20:41.335907]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:42:28.818054,2021-02-04T20:42:28.819314,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:42:28.818054|2021-02-04T20:42:28.818468|2021-02-04T20:42:28.819314]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:43:28.841490,2021-02-04T20:43:28.842548,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:43:28.841490|2021-02-04T20:43:28.841801|2021-02-04T20:43:28.842548]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:44:28.860960,2021-02-04T20:44:28.861998,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:44:28.860960|2021-02-04T20:44:28.861319|2021-02-04T20:44:28.861998]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:45:28.884394,2021-02-04T20:45:28.885250,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:45:28.884394|2021-02-04T20:45:28.884737|2021-02-04T20:45:28.885250]
10.0.42.255,10.0.42.1,32,0,1,2021-02-04T20:01:01.936778,2021-02-04T20:01:01.936778,ff:ff:ff:ff:ff:ff,52:54:00:4c:1c:09,1,0,5678,47201,0,17,0,0,[1],[0],[4],[2021-02-04T20:01:01.936778]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T20:46:28.903982,2021-02-04T20:46:28.904953,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T20:46:28.903982|2021-02-04T20:46:28.904396|2021-02-04T20:46:28.904953]
151.80.211.8,10.0.42.10,76,76,1,2021-02-04T19:53:55.403858,2021-02-04T19:53:55.438755,52:54:00:4c:1c:09,52:54:00:2d:18:d3,1,1,123,48825,0,17,0,0,[1|-1],[0|0],[48|48],[2021-02-04T19:53:55.403858|2021-02-04T19:53:55.438755]
10.0.42.1,10.0.42.155,328,331,1,2021-02-04T20:22:10.533098,2021-02-04T20:22:10.533459,52:54:00:4c:1c:09,52:54:00:40:74:8e,1,1,67,68,0,17,0,0,[1|-1],[0|0],[300|303],[2021-02-04T20:22:10.533098|2021-02-04T20:22:10.533459]
10.0.42.1,10.0.42.155,55,71,1,2021-02-04T19:46:17.669334,2021-02-04T19:46:17.669479,52:54:00:4c:1c:09,52:54:00:40:74:8e,1,1,53,54769,0,17,0,0,[1|-1],[0|0],[27|43],[2021-02-04T19:46:17.669334|2021-02-04T19:46:17.669479]
151.80.211.8,10.0.42.10,76,76,1,2021-02-04T20:28:03.652421,2021-02-04T20:28:03.688251,52:54:00:4c:1c:09,52:54:00:2d:18:d3,1,1,123,60632,0,17,0,0,[1|-1],[0|0],[48|48],[2021-02-04T20:28:03.652421|2021-02-04T20:28:03.688251]
10.0.42.1,10.0.42.10,328,328,1,2021-02-04T20:42:42.663576,2021-02-04T20:42:42.663894,52:54:00:4c:1c:09,52:54:00:2d:18:d3,1,1,67,68,0,17,0,0,[1|-1],[0|0],[300|300],[2021-02-04T20:42:42.663576|2021-02-04T20:42:42.663894]
